Timestamp, CH1, CH2, CH3, CH4, CH5, CH6, CH7, CH8, CH9
10-3-2022 15:27:41, 2702, 2614, 2556, 2341, 2214, 2316, 2204, 2116, 2033
10-3-2022 15:27:46, 2350, 2502, 2551, 2414, 2302, 2443, 2414, 2399, 2150
